score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 40
# fft = 16
# satrat = 0.9
# radius = 1.18
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 1768
# walltime = 410.787
# cputime = 9.274
# saturation radius = 1.18
0.000,-0.846,-1.000,-0.984
1.000,-0.880,-1.039,-1.023
2.000,-0.916,-1.080,-1.062
3.000,-0.953,-1.121,-1.103
4.000,-0.991,-1.163,-1.145
5.000,-1.030,-1.207,-1.188
6.000,-1.070,-1.251,-1.232
7.000,-1.111,-1.297,-1.278
8.000,-1.153,-1.344,-1.324
9.000,-1.196,-1.392,-1.371
10.000,-1.241,-1.441,-1.420
11.000,-1.286,-1.491,-1.470
12.000,-1.333,-1.543,-1.520
13.000,-1.380,-1.595,-1.572
14.000,-1.429,-1.649,-1.625
15.000,-1.479,-1.704,-1.680
16.000,-1.530,-1.760,-1.735
17.000,-1.582,-1.817,-1.792
18.000,-1.635,-1.876,-1.850
19.000,-1.690,-1.936,-1.909
20.000,-1.746,-1.997,-1.969
21.000,-1.803,-2.059,-2.030
22.000,-1.861,-2.122,-2.093
23.000,-1.920,-2.187,-2.157
24.000,-1.981,-2.253,-2.222
25.000,-2.043,-2.320,-2.288
26.000,-2.106,-2.389,-2.356
27.000,-2.170,-2.459,-2.425
28.000,-2.235,-2.530,-2.495
29.000,-2.302,-2.602,-2.567
30.000,-2.370,-2.676,-2.639
31.000,-2.440,-2.751,-2.713
32.000,-2.510,-2.827,-2.788
33.000,-2.582,-2.905,-2.865
34.000,-2.656,-2.984,-2.943
35.000,-2.730,-3.064,-3.022
36.000,-2.806,-3.146,-3.102
37.000,-2.883,-3.229,-3.184
38.000,-2.962,-3.313,-3.267
39.000,-3.041,-3.399,-3.351
40.000,-3.123,-3.486,-3.437
41.000,-3.205,-3.574,-3.524
42.000,-3.289,-3.664,-3.612
43.000,-3.374,-3.755,-3.702
44.000,-3.461,-3.848,-3.793
45.000,-3.548,-3.942,-3.886
46.000,-3.638,-4.037,-3.979
47.000,-3.728,-4.134,-4.074
48.000,-3.820,-4.232,-4.171
49.000,-3.914,-4.331,-4.269
50.000,-4.008,-4.432,-4.368
51.000,-4.104,-4.535,-4.468
52.000,-4.202,-4.638,-4.570
53.000,-4.301,-4.744,-4.673
54.000,-4.401,-4.850,-4.778
55.000,-4.503,-4.958,-4.884
56.000,-4.606,-5.068,-4.991
57.000,-4.711,-5.179,-5.100
58.000,-4.817,-5.291,-5.210
59.000,-4.924,-5.405,-5.322
60.000,-5.033,-5.520,-5.434
61.000,-5.143,-5.637,-5.549
62.000,-5.255,-5.755,-5.664
63.000,-5.368,-5.874,-5.781
64.000,-5.482,-5.995,-5.900
65.000,-5.598,-6.118,-6.020
66.000,-5.716,-6.242,-6.141
67.000,-5.835,-6.367,-6.264
68.000,-5.955,-6.494,-6.388
69.000,-6.077,-6.622,-6.513
70.000,-6.200,-6.752,-6.640
71.000,-6.325,-6.883,-6.768
72.000,-6.451,-7.016,-6.898
73.000,-6.578,-7.150,-7.029
74.000,-6.707,-7.286,-7.162
75.000,-6.838,-7.423,-7.296
76.000,-6.970,-7.562,-7.431
77.000,-7.103,-7.702,-7.568
78.000,-7.238,-7.844,-7.706
79.000,-7.375,-7.987,-7.846
80.000,-7.513,-8.132,-7.987
