score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 48
# fft = 16
# satrat = 0.9
# radius = 1.1547005383792515
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 598
# walltime = 93660.339
# cputime = 7.447
# saturation radius = 1.1547005383792515
0.000,-0.877,-1.000,-0.969
1.000,-0.940,-1.068,-1.036
2.000,-1.005,-1.139,-1.105
3.000,-1.073,-1.214,-1.178
4.000,-1.145,-1.291,-1.254
5.000,-1.219,-1.372,-1.334
6.000,-1.297,-1.457,-1.416
7.000,-1.378,-1.545,-1.502
8.000,-1.463,-1.636,-1.592
9.000,-1.551,-1.730,-1.685
10.000,-1.642,-1.829,-1.781
11.000,-1.737,-1.930,-1.881
12.000,-1.835,-2.036,-1.984
13.000,-1.937,-2.145,-2.091
14.000,-2.043,-2.258,-2.202
15.000,-2.152,-2.375,-2.316
16.000,-2.265,-2.495,-2.435
17.000,-2.382,-2.619,-2.557
18.000,-2.503,-2.747,-2.682
19.000,-2.627,-2.879,-2.812
20.000,-2.755,-3.015,-2.945
21.000,-2.887,-3.155,-3.082
22.000,-3.023,-3.299,-3.224
23.000,-3.163,-3.446,-3.369
24.000,-3.307,-3.598,-3.518
25.000,-3.455,-3.754,-3.671
26.000,-3.607,-3.914,-3.828
27.000,-3.763,-4.078,-3.989
28.000,-3.923,-4.246,-4.154
29.000,-4.087,-4.419,-4.323
30.000,-4.255,-4.595,-4.497
31.000,-4.428,-4.776,-4.674
32.000,-4.604,-4.961,-4.856
33.000,-4.785,-5.150,-5.041
34.000,-4.970,-5.343,-5.231
35.000,-5.159,-5.541,-5.425
36.000,-5.353,-5.743,-5.624
37.000,-5.550,-5.949,-5.826
38.000,-5.752,-6.160,-6.033
39.000,-5.958,-6.374,-6.244
40.000,-6.169,-6.594,-6.459
41.000,-6.384,-6.817,-6.678
42.000,-6.603,-7.045,-6.902
43.000,-6.827,-7.277,-7.130
44.000,-7.055,-7.514,-7.362
45.000,-7.287,-7.755,-7.599
46.000,-7.524,-8.001,-7.840
47.000,-7.765,-8.251,-8.085
48.000,-8.010,-8.505,-8.335
49.000,-8.260,-8.764,-8.588
50.000,-8.514,-9.027,-8.847
51.000,-8.773,-9.295,-9.109
52.000,-9.036,-9.567,-9.376
53.000,-9.304,-9.844,-9.648
54.000,-9.576,-10.125,-9.923
55.000,-9.852,-10.411,-10.204
56.000,-10.134,-10.701,-10.488
57.000,-10.419,-10.996,-10.777
58.000,-10.709,-11.295,-11.070
59.000,-11.004,-11.599,-11.368
60.000,-11.303,-11.907,-11.670
61.000,-11.606,-12.220,-11.977
62.000,-11.915,-12.538,-12.288
63.000,-12.227,-12.860,-12.604
64.000,-12.544,-13.186,-12.924
65.000,-12.866,-13.517,-13.248
66.000,-13.192,-13.853,-13.577
67.000,-13.523,-14.193,-13.910
68.000,-13.859,-14.538,-14.248
69.000,-14.199,-14.888,-14.590
70.000,-14.543,-15.242,-14.937
71.000,-14.892,-15.601,-15.288
72.000,-15.246,-15.964,-15.644
73.000,-15.604,-16.332,-16.004
74.000,-15.967,-16.704,-16.369
75.000,-16.335,-17.082,-16.738
76.000,-16.707,-17.463,-17.111
77.000,-17.084,-17.850,-17.489
78.000,-17.465,-18.241,-17.872
79.000,-17.851,-18.636,-18.259
80.000,-18.241,-19.037,-18.651
